wavelength_microns num_obs r_au delta_au alpha_deg v_mag flux_lambda fluxErr_lambda flux_nu fluxErr_nu STM_eta NEATM_eta STM_D_km FRM_D_km NEATM_D_km STM_pv FRM_pv NEATM_pv
1.25 3 1.063 0.07 35.4 11.54 7.45e-14 1.2e-15 0.0388 0.6 0.756 1.15 0.85 1.4 1.01 0.42 0.16 0.3
1.65 2 1.063 0.07 35.4 11.09 4.1e-14 8e-16 0.0372 0.7 0.756 1.15 0.85 1.4 1.01 0.42 0.16 0.3
2.2 2 1.063 0.07 35.4 11.06 1.5300000000000002e-14 3e-16 0.0247 0.5 0.756 1.15 0.85 1.4 1.01 0.42 0.16 0.3
3.73 2 1.063 0.07 35.4 9.17 1.11e-14 4e-16 0.0513 1.7 0.756 1.15 0.85 1.4 1.01 0.42 0.16 0.3
4.64 2 1.063 0.07 35.4 7.31 2.86e-14 1.3e-15 0.205 9.0 0.756 1.15 0.85 1.4 1.01 0.42 0.16 0.3
4.76 6 1.063 0.07 35.4 7.1 3.25e-14 1.5e-15 0.24600000000000002 12.0 0.756 1.15 0.85 1.4 1.01 0.42 0.16 0.3
8.7 1 1.063 0.07 35.4 3.47 8.630000000000001e-14 8.3e-15 2.18 210.0 0.756 1.15 0.85 1.4 1.01 0.42 0.16 0.3
9.6 1 1.063 0.07 35.4 3.09 7.699999999999999e-14 7.4e-15 2.37 230.0 0.756 1.15 0.85 1.4 1.01 0.42 0.16 0.3
10.0 13 1.063 0.07 35.4 2.86 8.79e-14 1.4e-15 2.93 47.0 0.756 1.15 0.85 1.4 1.01 0.42 0.16 0.3
10.3 1 1.063 0.07 35.4 3.02 6.600000000000001e-14 6.4e-15 2.34 220.0 0.756 1.15 0.85 1.4 1.01 0.42 0.16 0.3
11.6 1 1.063 0.07 35.4 2.41 7.37e-14 7.1e-15 3.31 320.0 0.756 1.15 0.85 1.4 1.01 0.42 0.16 0.3
12.5 1 1.063 0.07 35.4 1.92 8.619999999999999e-14 8.3e-15 4.49 430.0 0.756 1.15 0.85 1.4 1.01 0.42 0.16 0.3
19.2 6 1.063 0.07 35.4 1.43 2.4900000000000003e-14 1.5e-15 3.06 190.0 0.756 1.15 0.85 1.4 1.01 0.42 0.16 0.3
